Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Farra Messiter,12/24/1972,225-41-1908,34905,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Female,40,United-States,<=50K,51,0,0
Pinchas Hamprecht,2/25/1967,789-06-2788,16664,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,42,United-States,>50K,56,0,0
Conrade Corck,2/28/2010,853-58-6212,26118,Local-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,52,United-States,>50K,13,0,1902
Budd Klosterman,5/15/1959,421-85-0524,45486,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,64,0,0
Traver Rehm,8/22/1992,898-85-5180,90693,,HS-grad,9,Married-spouse-absent,,Not-in-family,White,Male,70,United-States,<=50K,31,0,0
Tommie Bullene,1/9/1988,242-55-3000,26650,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,>50K,35,0,0
Wilhelmina Rosbottom,6/11/1978,303-69-5619,73133,,HS-grad,9,Divorced,,Not-in-family,White,Male,40,United-States,<=50K,45,4865,0
Vilma Aland,10/9/1962,140-82-8404,79731,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Black,Male,35,United-States,<=50K,61,0,0
Florenza Jacobovitz,12/22/1966,227-76-9748,50044,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,57,0,0
Demeter Ort,12/24/1996,749-02-3370,85978,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,27,0,0
Salomi Pym,8/4/1952,774-26-6117,93908,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,50,United-States,<=50K,71,0,0
L;urette Belliard,2/16/1964,158-72-3285,81899,,11th,7,Married-civ-spouse,,Husband,White,Male,30,United-States,<=50K,59,0,0
Jolynn Satterthwaite,1/7/1969,223-13-1116,75626,,Some-college,10,Never-married,,Own-child,White,Male,40,United-States,<=50K,54,0,0
Monroe Liffe,11/26/1965,370-91-4831,5241,Private,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,50,United-States,<=50K,58,0,0
Luca Holtham,2/22/2009,785-64-3048,56860,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,>50K,14,0,0
Deanna McQuillin,5/31/1954,160-74-6934,38828,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,69,0,0
Keir Polden,12/21/1973,158-47-6636,3413,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,United-States,<=50K,50,0,0
Chiquita Kalkhoven,2/7/1982,830-61-0876,67578,Private,Masters,14,Widowed,Adm-clerical,Unmarried,White,Female,38,United-States,<=50K,41,0,0
Francklyn Boswell,8/13/1959,173-97-9729,55414,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,30,United-States,<=50K,64,0,0
Maure Wrathmall,12/2/1956,801-86-0736,97941,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,67,0,0
Eleen Champerlen,7/20/1972,201-55-2512,69304,Private,7th-8th,4,Widowed,Priv-house-serv,Not-in-family,White,Female,30,United-States,<=50K,51,2964,0
Georgine Kinny,2/12/1977,790-49-5169,22132,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,46,0,0
Walther Koschek,9/29/1955,464-81-6029,27899,,HS-grad,9,Married-spouse-absent,,Not-in-family,White,Male,35,United-States,<=50K,68,0,0
Tommy Escoffrey,2/9/1969,837-44-1737,72363,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K,54,2597,0
Rozanne Errichelli,5/24/1962,313-99-7401,4531,Private,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K,61,0,0
Herta Maceur,5/22/1958,175-95-2248,44333,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,65,0,1590
Marji Ternott,4/28/1959,787-81-9545,78236,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,<=50K,64,0,0
Hildegaard O' Concannon,12/23/1977,751-43-2334,67338,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,40,Canada,<=50K,46,0,0
Gianna Osburn,8/22/1998,658-97-4174,91652,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,<=50K,25,0,0
Sibilla Fellgate,11/1/1973,280-60-4897,68401,Private,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,40,United-States,<=50K,50,0,0
Zilvia Pohlak,9/15/2011,229-99-6158,64781,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,60,United-States,<=50K,12,0,0
Nicolais Bene,9/13/1950,137-66-0243,88026,Private,HS-grad,9,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,40,United-States,<=50K,73,0,0
Ruperta Kirwan,10/16/1962,881-90-4995,84205,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,Other,Male,40,United-States,<=50K,61,0,0
Rowen Tremble,12/2/1994,166-56-3534,86004,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,29,0,0
Kikelia Jerrard,11/17/1981,421-20-8236,70149,,Assoc-acdm,12,Married-civ-spouse,,Husband,Black,Male,40,United-States,>50K,42,7688,0
Darleen Poltun,8/23/1996,195-48-9061,37156,Private,Masters,14,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,27,0,0
Sky Jillins,1/8/1951,164-49-5209,47343,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,72,0,0
Barbey Olivetta,3/29/1955,528-85-0191,95783,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,68,0,0
Beverie Costi,11/20/1955,689-18-4607,32902,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,24,United-States,<=50K,68,0,0
Meredith Gooden,4/19/1978,660-21-6135,43419,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,50,United-States,<=50K,45,0,0
Mirna O'Mara,11/19/2003,893-30-5633,49592,Private,Some-college,10,Separated,Sales,Unmarried,White,Female,35,United-States,<=50K,20,0,0
Rourke Fink,10/23/1991,461-57-4713,30033,Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,65,United-States,>50K,32,0,0
Launce Georgeon,12/20/2006,227-22-5154,89623,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,>50K,17,0,0
Kara-lynn Cardinal,12/8/1958,759-56-2273,28679,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,40,United-States,<=50K,65,0,0
Dorolisa Piddington,4/17/1963,257-19-8412,14488,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,United-States,<=50K,60,0,2179
Durant Erett,5/8/1959,555-20-1799,44944,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,64,0,0
Bard Humber,6/29/1975,508-64-0201,86787,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,70,United-States,>50K,48,0,0
Grenville Oxlee,6/26/1989,742-06-2871,64643,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,45,United-States,<=50K,34,114,0
Igor Dyas,1/1/1961,690-56-9108,53240,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,>50K,62,8614,0
Glyn Lappine,8/20/1978,777-26-1270,29237,,Some-college,10,Never-married,,Own-child,Black,Female,40,United-States,<=50K,45,0,0
Tasha Baynes,7/14/1953,163-24-8969,11159,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,40,United-States,<=50K,70,0,0
Faustina Ipplett,11/15/1983,823-53-6900,10148,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,30,United-States,>50K,40,0,0
Chryste Wheildon,9/8/1976,646-13-1379,4690,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,48,United-States,<=50K,47,0,0
Wendell Schwartz,12/19/1969,188-64-4581,76006,Self-emp-inc,Doctorate,16,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,United-States,>50K,54,20051,0
Dael Arrundale,12/3/1990,103-32-9721,1893,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,United-States,<=50K,33,0,0
Winona Linford,12/2/2010,808-12-0813,19125,Self-emp-not-inc,9th,5,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,13,0,0
Dasie Curtis,9/18/1971,239-88-4686,13443,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,Black,Male,40,United-States,<=50K,52,0,0
Amabel Colbourne,1/3/2007,670-23-9298,27186,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,15,United-States,<=50K,16,0,0
Temp Roskam,5/9/1968,141-43-9762,21689,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,55,United-States,>50K,55,7688,0
Karylin Szymanowski,5/24/2012,714-27-6003,21251,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,11,0,0
Margi Jozsika,6/5/1981,486-10-7769,19768,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,40,United-States,<=50K,42,0,0
Brenn Arton,12/25/2001,490-08-9258,1414,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,45,United-States,<=50K,22,0,0
Maryl Hullins,3/26/1954,436-98-0762,34304,Private,9th,5,Married-civ-spouse,Priv-house-serv,Wife,Black,Female,10,United-States,<=50K,69,0,0
Yorgo Erington,12/18/1966,157-72-2116,96038,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,<=50K,57,0,0
Dionisio Vallentin,6/8/1967,256-17-7676,6050,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K,56,0,0
Kippie Jone,1/7/2001,511-70-6045,5664,Self-emp-not-inc,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Male,60,United-States,<=50K,22,0,0
Bea Wyche,1/15/1973,855-44-1493,85484,Local-gov,HS-grad,9,Married-spouse-absent,Transport-moving,Other-relative,White,Female,35,United-States,<=50K,50,0,0
Danita Loosely,3/8/1982,613-36-3909,53121,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,50,United-States,<=50K,41,0,0
Rafe Pembridge,9/14/1987,101-88-3963,68127,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,36,0,0
Tamiko Wiseman,4/24/1983,357-61-3628,980,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,20,United-States,<=50K,40,594,0
Cris Jakubovits,8/14/1961,439-94-5924,32808,Private,Bachelors,13,Married-spouse-absent,Other-service,Unmarried,White,Female,24,United-States,<=50K,62,0,0
Myrta Yakov,3/2/1962,647-93-7655,21420,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,61,0,0
Verne Pask,3/9/1961,659-35-7558,6082,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K,62,0,0
Darcey Courtliff,9/18/1999,573-96-8020,73486,Private,12th,8,Never-married,Other-service,Own-child,White,Female,20,United-States,<=50K,24,0,0
Hobie MacGauhy,7/10/1973,245-83-4506,21207,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,<=50K,50,0,0
Kippy Osmint,4/30/1983,357-14-0459,19338,Private,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,Mexico,<=50K,40,0,0
Ginnie Henryson,10/6/1979,517-59-2181,12755,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,44,0,0
Cecil Jenckes,5/16/2006,424-53-2436,98430,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,54,United-States,<=50K,17,0,0
Athena Barnard,4/3/1994,366-01-5267,20655,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K,29,0,0
Trace Barbey,6/23/1963,257-79-9250,58671,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,>50K,60,0,0
Rob Sharnock,11/12/2001,620-92-2925,13403,Private,10th,6,Separated,Sales,Unmarried,Black,Female,38,United-States,<=50K,22,0,0
Antonio Rainey,12/10/1959,667-23-9014,98864,,11th,7,Never-married,,Not-in-family,White,Female,32,United-States,<=50K,64,0,0
Inglebert Gozard,4/12/1993,163-47-6155,91213,Private,Assoc-voc,11,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,30,0,0
Krispin Arpur,11/22/1987,561-02-2893,3086,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,>50K,36,0,0
Loralie Curgenven,10/18/1990,597-40-5384,87131,Private,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,White,Female,25,United-States,<=50K,33,0,0
Beale Liversley,8/25/1979,441-34-3994,37713,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,44,0,0
Nonah Boundley,10/3/1976,727-30-9852,99544,Local-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,30,United-States,<=50K,47,0,0
Nariko Kubasek,2/17/1955,321-99-9536,97512,Self-emp-inc,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,68,0,0
Biron Clemes,2/13/1993,757-99-2548,83988,,Masters,14,Married-civ-spouse,,Wife,White,Female,48,United-States,>50K,30,0,1887
Liv Budgett,1/14/1968,378-20-8698,18220,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K,55,0,2179
Eirena Ullyott,3/22/2005,801-31-4050,96777,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,18,0,0
Daune Bougourd,7/1/1956,852-16-6117,95378,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,67,0,0
Cal Uman,8/1/1959,221-63-0558,76788,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,60,United-States,>50K,64,99999,0
Marchelle Benardette,4/3/2005,753-61-8484,46565,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,>50K,18,0,1887
Nikkie Gouthier,4/19/1955,788-88-6308,147,Private,10th,6,Never-married,Other-service,Own-child,White,Male,30,United-States,<=50K,68,0,0
Wolfie Chisnell,5/3/1994,396-89-2543,16326,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,29,0,0
Crin Farres,11/29/1983,552-70-3393,56489,Private,Masters,14,Never-married,Sales,Unmarried,White,Male,60,United-States,>50K,40,0,0
Eugenio Terrazzo,8/18/1952,338-17-4860,85091,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K,71,0,0
Florence McGuinness,1/28/1998,859-96-7972,99844,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,25,0,0
Angel Borrington,11/29/2003,216-69-2199,26104,State-gov,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,40,United-States,<=50K,20,0,0
Larry Flanigan,4/26/1958,872-61-5110,52146,Private,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Male,40,United-States,<=50K,65,0,0
Dorian Hanham,12/13/1958,260-55-5251,86002,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,48,United-States,<=50K,65,0,0
Nil Eschelle,9/19/1996,807-22-5628,46065,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Male,45,United-States,<=50K,27,0,0
Laurianne de Glanville,6/20/1994,249-59-8760,2632,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,50,United-States,<=50K,29,0,0
Merna Simms,9/17/1973,462-63-1756,1453,Private,Bachelors,13,Widowed,Tech-support,Unmarried,White,Female,7,United-States,<=50K,50,0,0
Mackenzie Brahams,4/8/2010,437-87-8759,35792,Private,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K,13,0,0
Cornie Haysman,4/22/2012,752-12-4784,83117,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,11,0,0
Alvinia Strelitz,8/9/2000,491-78-8086,15910,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,<=50K,23,0,0
Lisbeth Jillions,4/18/1960,529-53-8523,31590,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,25,United-States,<=50K,63,0,0
Ginelle Turneux,7/15/1974,780-37-3847,19778,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,49,0,0
Ninon Gornal,8/4/1969,423-51-0605,17700,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Male,25,Columbia,<=50K,54,0,0
Tessa Fitzharris,8/15/1980,707-59-3145,93681,Self-emp-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,43,0,0
Aeriell Gillatt,9/10/1950,882-62-5288,13556,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,United-States,>50K,73,0,0
Kristal Bantham,1/17/1981,477-08-1912,12537,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,42,0,0
Clay Buttel,1/24/1978,114-91-0563,11727,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,45,3908,0
Dewey Newnham,10/2/2002,376-48-8710,83597,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,United-States,>50K,21,7688,0
Whitby Monget,11/12/1958,834-27-0243,39610,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30,United-States,<=50K,65,0,0
Balduin Bessell,4/2/2009,398-67-0686,23465,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,80,United-States,>50K,14,7298,0
Pasquale Crayke,9/24/1953,364-41-5123,2321,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,10,India,<=50K,70,0,0
Fax Formie,6/1/1951,519-43-4194,91725,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,25,United-States,<=50K,72,0,0
Athene Scowcraft,11/13/2002,515-10-5849,76943,Private,HS-grad,9,Separated,Transport-moving,Unmarried,White,Male,45,United-States,<=50K,21,0,0
Shanie Lakenton,7/6/1980,788-16-6780,19911,Private,12th,8,Never-married,Transport-moving,Not-in-family,White,Male,46,United-States,<=50K,43,0,0
Kathe Nuttey,12/29/1960,156-81-4128,78838,Private,HS-grad,9,Widowed,Craft-repair,Not-in-family,White,Male,16,United-States,<=50K,63,0,0
Gertie Deal,10/21/1963,326-25-6447,38108,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,United-States,>50K,60,0,0
Bowie Aldersea,8/15/1983,573-19-7397,97386,Private,10th,6,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,<=50K,40,0,0
Faye Scates,6/17/1999,870-55-1697,17410,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,40,United-States,<=50K,24,0,0
Dulce Kinman,10/29/2005,175-90-0327,22563,Private,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Other,Female,35,United-States,<=50K,18,0,0
Margalo Handrik,7/19/1996,321-44-4681,88641,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,40,Cuba,<=50K,27,0,0
Ester cornhill,4/18/1984,403-33-8973,51352,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,<=50K,39,0,0
Aleen Deighton,1/10/1992,331-49-7041,38274,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,United-States,<=50K,31,0,0
Maximilian Baudouin,8/2/1954,662-87-4218,53870,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,>50K,69,0,0
Lynelle Dewen,6/14/2000,108-02-4982,52333,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,<=50K,23,0,0
Kyla Iacomini,1/12/2002,652-38-5526,13666,Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,30,United-States,<=50K,21,0,0
Saunders Boschmann,10/26/1956,353-18-9680,53297,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,40,United-States,<=50K,67,0,0
Farlay Lehemann,9/29/1985,786-50-6215,47730,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,5,United-States,<=50K,38,0,2206
Prinz Fawdry,12/9/1976,745-09-4266,72577,Local-gov,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,47,0,0
Boris Philip,6/3/1974,540-03-8423,14848,Private,Assoc-acdm,12,Never-married,Other-service,Not-in-family,White,Female,80,United-States,>50K,49,0,0
Glenna Acklands,9/23/1962,548-60-2317,4318,Self-emp-not-inc,Some-college,10,Married-spouse-absent,Farming-fishing,Not-in-family,White,Female,20,United-States,>50K,61,27828,0
Loree Meldrum,7/25/1975,793-77-7636,88428,Private,HS-grad,9,Never-married,Adm-clerical,Other-relative,Black,Male,40,,<=50K,48,0,0
Stanton Bankes,1/16/1959,542-88-1614,93195,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,50,United-States,<=50K,64,2977,0
Jerrilyn Breeton,6/14/1960,174-17-8161,84440,Private,10th,6,Widowed,Farming-fishing,Unmarried,White,Female,56,United-States,<=50K,63,0,0
Leonora Pavel,6/8/1973,774-28-5627,60330,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Germany,<=50K,50,0,0
Alexis Hullett,1/22/2000,142-41-1474,48833,Federal-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,44,United-States,>50K,23,0,0
Vinni Barkes,1/20/2005,142-20-7740,9671,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Female,20,United-States,<=50K,18,0,0
Chrisse Gilmour,7/1/1955,616-49-1592,48363,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,52,United-States,<=50K,68,0,2179
Aleece Bothie,2/18/1975,139-53-9458,83230,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,<=50K,48,0,0
Suzanna Heape,2/19/1973,401-91-6497,90949,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,<=50K,50,0,0
Vinson Adrain,7/15/1973,411-79-9677,88190,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,20,United-States,<=50K,50,0,0
Blaine Catterell,2/7/1990,553-03-2689,62197,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,37,United-States,<=50K,33,0,0
Sayres Malyon,6/12/1955,584-29-4445,57722,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,70,United-States,<=50K,68,0,0
Iggie Lovemore,9/27/2002,391-94-2501,10425,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K,21,0,0
Nicolai Dyet,11/17/1984,321-15-2210,91441,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,40,India,<=50K,39,0,0
Tallulah Sleightholm,10/25/2008,437-71-7399,43646,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,15,0,0
Gianna Ren,5/24/1980,421-92-8762,40692,Local-gov,Doctorate,16,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,38,United-States,<=50K,43,0,0
Zach Brooker,5/7/1973,731-86-5860,95781,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,38,United-States,<=50K,50,0,0
Amil Suff,4/5/2001,798-04-9340,31031,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,35,United-States,<=50K,22,0,0
Caitlin Bummfrey,8/20/2007,242-39-7090,69044,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,40,Hong,>50K,16,0,0
Roberto Sorrill,4/28/1999,242-01-6661,64015,Private,11th,7,Separated,Other-service,Not-in-family,Black,Female,40,United-States,<=50K,24,0,0
Henderson Fairhurst,9/25/1972,765-85-7818,79682,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,40,United-States,<=50K,51,0,0
Phil Carverhill,8/29/1983,553-78-2913,95266,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,40,0,0
Jerrilyn Nicholes,12/29/1999,728-32-4802,31901,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,43,United-States,>50K,24,0,1977
Mickey Luety,3/10/1988,113-05-4202,9911,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,United-States,<=50K,35,0,0
Thekla Goodyer,1/14/1976,290-64-4756,452,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,45,United-States,<=50K,47,0,0
Bond Smeall,2/8/1983,522-71-9059,21609,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,50,United-States,<=50K,40,0,0
Carney Morrill,1/19/2007,165-23-8439,80236,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K,16,0,0
Mei Whacket,11/1/1957,553-77-0945,35615,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,United-States,<=50K,66,0,0
Lyda Penhalurick,8/6/1961,369-08-7013,17350,Private,Some-college,10,Never-married,Exec-managerial,Other-relative,White,Female,50,United-States,<=50K,62,0,0
Desmund Gunner,12/19/1967,224-39-4513,49551,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,56,0,0
Kath Southernwood,12/20/2008,478-82-7870,70029,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,48,United-States,<=50K,15,0,0
Artemas Fullick,12/8/1955,565-82-5019,74523,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,United-States,<=50K,68,5013,0
Bennett Hirschmann,3/11/1960,628-79-6636,74179,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K,63,0,0
Myles Edmed,3/26/2010,616-07-0014,50564,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,<=50K,13,0,0
Fleurette Devlin,8/17/1978,818-43-9556,38611,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,48,Mexico,<=50K,45,0,0
Briney Biaggioli,6/19/1999,823-74-6396,23045,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,35,United-States,<=50K,24,0,0
